;Bearbeiter:;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Straubinger;;Straubinger;;Straubinger;;Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;;Heibl, Straubinger;
;Flächengröße;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;4;;;;;;;;;;;;4;;4;;4;;4;;4;;4;;4;;4;
;Innerhalb der Weide;Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);Cover %;Height (cm);;;Cover %;Height (cm);Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nein;;Nein;;Nein;;Nein;;Nein;
;Vegetation Obere  average Höhe (cm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Streu Deckung (%);60;;;;30;;60;;50;;;;;;;;35;;;;20;;40;;35;;40;;;;;;60;;20;;20;;10;;;;;;50;;;;60;;30;;20;;20;;80;;;;70;;15;;60;;70;;30;;60;;60;;25;;30;;60;;70;;80;;75;
;Höhe der Streuschicht (cm);1;;1,5;;5;;7;;3;;4;;5;;1;;9;;;;1,5;;3;;;;1;;2;;7;;6;;1;;3;;5;;8;;3;;8;;4;;5;;1;;5;;6;;7;;3;;3;;7;;3;;4;;7;;3;;5;;4;;9;;4;;3;;6;;6;
;Offenboden (%);1;;3;;5;;1;;1;;;;;;1;;3;;;;3;;;;1;;1;;;;1;;0,5;;1;;5;;0;;0;;1;;3;;5;;3;;12;;0;;0;;0;;0;;10;;15;;0;;;;0,5;;0,5;;0;;10;;;;0,5;;;;;;;
;Moose Deckung (%);10;;5;;50;;3;;10;;2;;50;;60;;15;;5;;40;;25;;50;;40;;20;;20;;30;;15;;30;;80;;0;;;;50;;;;20;;5;;60;;60;;1;;1;;15;;5;;25;;10;;15;;30;;30;;25;;75;;30;;20;;50;;20;
;Moose Höhe (cm);2;;3;;3,5;;2;;3;;3;;4;;2;;3;;0,5;;;;2;;2;;0,5;;2;;1;;2;;1;;3;;4;;;;;;1;;3;;3;;1;;3;;4;;3;;2;;2;;1;;2,5;;3;;1;;3;;4;;3;;6;;4,5;;3;;2;;4;
;Gräser Deckung (%);82;;45;;42;;50;;45;;15;;40;;35;;55;;40;;50;;50;;40;;45;;60;;50;;50;;40;;50;;55;;65;;73;;12;;25;;35;;30;;46;;50;;65;;53;;20;;30;;45;;65;;40;;42;;50;;35;;50;;35;;40;;45;;45;
;Gräser Höhe (cm);72;;93;;;;80;;81;;75;;64;;;;62;;70;;57;;83;;79;;80;;76;;;;;;70;;79;;83;;73;;67;;69;;77;;73;;56;;72;;72;;66;;78;;;;61;;73;;77;;72;;58;;77;;54;;90;;75;;;;81;;;
;Kräuter Deckung (%);10;;40;;42;;20;;40;;55;;45;;45;;25;;35;;40;;45;;50;;45;;30;;30;;45;;50;;35;;38;;34;;22;;80;;50;;50;;50;;46;;48;;30;;45;;45;;40;;48;;30;;58;;55;;40;;45;;38;;60;;52;;50;;50;
;Kräuter Höhe (cm);;;43;;;;27;;46;;20;;11;;;;;;18;;19;;38;;;;31;;77;;;;73;;40;;49;;;;57;;30;;39;;37;;15;;;;;;21;;31;;35;;;;9;;;;;;19;;22;;27;;16;;39;;;;;;34;;;
;MW Kräuter Höhe (cm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Felsen Deckung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Wasser Deckung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Baumschicht (%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Baumschicht (Höhe);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;shrub  layer %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;shrub  layer (cm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Totholz (%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b;Acer pseudaplatanus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;5
b;Picea abies B;;;;;;;;;;;;;0,5;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;18;;;;;;;;;;;;;;;;;;;;;;;0,1;42
b;Sorbus aucuparia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
