;sp;;;;;;;;;;;;;;;
;[] = diese Art ist außerhalb des Plotes gewachsen;;;;;;;;;;;;;;;
;Skala: Londo, alle Werte bereits in Deckungen, keine Transformation nötig;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Gebiet;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus;Schachtenhaus
;Plot-ID;Sch-Agr-1;Sch-Agr-2;Sch-Cal-1;Sch-Nar-1;Sch-Cal-2;Sch-Cal-3;Sch-Cal-5;Sch-Cal-4;Sch-Nar-2;Sch-Nar-3;Sch-Nar-4;Sch-Nar-5;Sch-Agr-3;Sch-Agr-4;Sch-Agr-5
;DB_Jehl_Aufnahmefläche;;;;;;;;;;;;;;;
;DB_Jehl_Aufnahme;;;;;;;;;;;;;;;
;Datum:      ;09.07.2020;09.07.2020;09.07.2020;09.07.2020;14.07.2020;14.07.2020;14.07.2020;14.07.2020;14.07.2020;14.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020;22.07.2020
;Bearbeiter:;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea;Lea;Lea;Lea;Lea
;Flächengröße;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2;4 m2
;Management;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht;gemäht
b;Betula pendula juv.;;;;;;;;;;;;;;;
b;Fagus sylvatica juv.;;;;;;;;;;;;;;;
b;Picea abies B;;;;;;;;;;;;;;;
b;Picea abies juv.;;;;;;;;;;;;;;;
b;Sorbus aucuparia;;;;;;;;;;;;;;;
k;Achillea millefolium;1;0,5;;;1;0,3;;;;;;;3;0,3;
k;Ajuga reptans;;;;;;;;;;;;;;;
k;Alchemilla monticola;;;;;;;;;;;;;;;
k;Alchemilla vulgaris;;;;;;;;;;;;;;;
k;Anemone nemorosa;;;;;0,1;;;0,1;0,1;;;;;;
k;Antriscus sylvestris;;;;;;;;;;;;;;;
k;Athyrium filix-femina;;;;;;;;;;;;;;;
k;Bistorta officinalis;;;;;;;;;;;;;;;
k;Caltha palustris ;;;;;;;;;;;;;;;
k;Campanula rotundifolia;0,3;0,3;;;0,1;;;;;;;;0,5;0,1;
k;Cardamine amara;;;;;;;;;;;;;;;
k;Cardamine pratensis;;;0,5;;;;;;;;;;;;
k;Callitriche palustris agg.;;;;;;;;;;;;;;;
k;Cerastium holosteoides;;;;;;;0,1;;;;;;;;
k;Chaerophyllum hirsutum;;;2;;0,7;7;1;;;;;;;;
k;Chrysosplenium alternifolium;;;;;;;;;;;;;;;
k;Chrysosplenium oppositifolium;;;;;;;;;;;;;;;
k;Circaea alpina;;;;;;;;;;;;;;;
k;Cirsium palustre;;;;;;;5;1;;;;;;;
k;Crepis mollis;;;;;;;;;;;;;;;
k;Crepis paludosa;;;17;;10;15;12;7;;;;;;;
k;Dactylorhiz fuchsii;;;;;;;;;;;;;;;
k;Dryopteris spec.;;;;;;;;;;;;;;;
k;Epilobium montanum;;;0,3 (nicht sicher ob mon/ pal);;0,5;0,3;;;;;;;;;
k;Epilobium palustre;;;;;;;;;;;;;;;
k;Equisetum sylvaticum;;;;;;;;;;;;;;;
k;Ficaria verna;;;;;;;;;;;;;;;
k;Fragaria vesca;;;;;;;;;;;;;;;
k;Galeopsis tetrahit;;;;;;;;;;;;;;1;0,5
k;Galium palustre;;;;;;;;;;;;;;;
k;Galium saxatile;;;0,3;5;;;;;12;;;;1;0,3;0,3
k;Galium uliginosum;;;;;;1;0,5;0,5;;;;;;;
k;Geranium sylvaticum;;;;;;;;;;;;;;;
k;Glechoma hederacea;;;;;;;;;;;;;;;
k;Heracleum sphondylium;;;;;;;;;;;;;;;
k;Hieracium lachenalii;0,1 (lach/lact);;;;;;;;;;;;;;
k;Hieracium lactucella;;;;;;;;;;;;;;;
k;Homogyne alpina;;;;;;;;;;;;;;;
k;Hypericum maculatum;5;17;0,5;;15;;3;0,1;;;;;15;3;3
k;Impatiens glandulifera;;;;;;;;;;;;;;;
k;Lychnis flos-cuculi;0,5;;0,1;;;;;;;;;;;;
k;Lysimachia nemorum;;;;;;;;;;;;;;;
k;Lysimachia vulgaris;;;;;;;;;;;;;;;
k;Maianthemum bifolium;;;;;;;;;;;;;;;
k;Mentha arvensis;;;;;;;;;;;;;;;
k;Myosotis nemorosa;;;;;;;;;;;;;;;
k;Myosotis palustris;;;2;;0,5;3;5;5;;;;;;;
k;Oxalis acetosella;;;;;;;;;;;;;;;
k;Pedicularis sylvatica;;;;;;;;;;;;;;;
k;Pinguicula vulgaris;;;;;;;;;;;;;;;
k;Plantago lanceolata;;;;;;;;;;;;;;;
k;Potentilla erecta;5;3;1;;7;0,1;2;1;;;;;;;
k;Prunella vulgaris;;;;;;;;;;;;;;;
k;Ranunculus acris;;;;;0,3;;;;;;;;;;
k;Ranunculus flammula;;;;;;;;;;;;;;;
k;Ranunculus repens;;;;;;;;;;;;;;;
k;Rhinanthus minor;;;;;;;;;;;;;;;
k;Rubus idaeus;;;;;;;;;;;;;;;
k;Rubus idaeus (juv.);;;;;;;;;;;;;;;
k;Rumex acetosa;;;;;;;;;;;;;;;
k;Rumex acetosella;3;10;;5;;;;;5;1;;3;15;15;5
k;Rumex arifolius;0,1;0,1;0,5;0,1;3;0,1;0,5;1;1;;;;;0,1;
k;Rumex obtusifolius;;;;;;;;;;;;;;;
k;Senecio ovatus;;;;;;;;;;;;;;;
k;Senecio subalpinus;;;;;;;;;;;;;;;
k;Silene dioica;;;;;0,3;;;;;;;;;;
k;Soldanella montana;;;;;;;;;;;;;;;
k;Stellaria alsine;;;;;0,1;0,1;;0,1;;;;;;;
k;Stellaria graminea;;0,5;0,5;;1;;0,5;0,5;;;;;2;1;0,1
k;Stellaria nemorum;;;;;;;;;;;;;;;
k;Stellaria spec.;;;;;;;;;;;;;;;
k;Taraxacum officinale;;;;;;;;;;;;;;;
k;Tephroseris crispa;;;;;;;;;;;;;;;
k;Trifolium pratense;;;;;;;;;;;;;;;
k;Trifolium repens;;;;;0,3;;;;;;;;;;
k;Urtica dioica ;;;;;;;;;;;;;;;
k;Vaccinicum myrtillus;3;;;;;;;;3;;0,3;;;;
k;Vaccinium myrtillus S;;;;;;;;;;;;;;;
k;Vaccinium vitis-idea;;;;;;;;;;;;;;;
k;Valeriana dioica;;;;;;;;;;;;;;;
k;Veronica beccabunga;;;;;;;;;;;;;;;
k;Veronica chamaedrys;0,1;0,3;;;5;;0,1;0,1;;;;;0,3;0,5;0,3
k;Veronica scutellata;;;;;;;;;;;;;;;
k;Veronica officinalis;20;15;;;;;;;;;;;7;17;35
k;Viola palustris;;;7;;7;15;12;10;;;;;;;
k;Willemetia stipitata;0,1;;;;;;;;;;;;;;
m;Sphagnum sec. ;;;;;;;;;;;;;;;
m;Climatium dendroides;;;;;;;;;;;;;;;
m;Plagiomnium undulatum;;;;;;;;;;;;;;;
m;Pellia epiphylla;;;;;;;;;;;;;;;
m;Rhytidiadelphus squarrosus;;;;;;;;;;;;;;;
;Anmerkung:;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Weitere:;;;;;;;;;;;;;;;
;carex canescens;;;30;;;40;;;;;;;;;
