;sp;;;;;;;;;;;;;;;;;;
;[] = diese Art ist außerhalb des Plotes gewachsen;;;;;;;;;;;;;;;;;;
;Skala: Londo, alle Werte bereits in Deckungen, keine Transformation nötig;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Gebiet;Hochschachten;Hochschachten;Hochschachten;Hochschachten;Hochschachten;Hochschachten;Hochschachten;Hochschachten;Hochschachten;Hochschachten;Hochschachten;Hochschachten;Hochschachten;Hochschachten;Hochschachten;Hochschachten;Hochschachten;Hochschachten
;Plot-ID;Hoc-Agr-5;Hoc-Agr-4 ;Hoc-Agr-3;Hoc-CaBi-1;Hoc-CaBi-2;Hoc-CaBi-3;Hoc-CaBi-4;Hoc-CaBi-5;Hoc-NarU-1;Hoc-NarU-2;Hoc-NarU-3;Hoc-NarU-4;Hoc-NarU-5;Hoc-CaBiU-1;Hoc-CaBiU-2;Hoc-CaBiU-3;Hoc-CaBiU-4;Hoc-CaBiU-5
;DB_Jehl_Aufnahmefläche;;;;;;;;;;;;;;;;;;
;DB_Jehl_Aufnahme;;;;;;;;;;;;;;;;;;
;Datum:      ;29.07.2020;29.07.2020;29.07.2020;30.07.2020;30.07.2020;30.07.2020;30.07.2020;30.07.2020;30.07.2020;30.07.2020;30.07.2020;30.07.2020;30.07.2020;30.07.2020;30.07.2020;30.07.2020;30.07.2020;30.07.2020
;Bearbeiter:;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea;Lea
;Flächengröße;;;;;;;;;;;;;;;;;;
;Management;brach;brach;brach;beweidet;beweidet;beweidet;beweidet;beweidet;brach;brach;brach;brach;brach;brach;brach;brach;brach;brach
b;Betula pendula juv.;;;;;;;;;;;;;;;;;;
b;Fagus sylvatica juv.;;;;;;;;;;;;;;;;;;
b;Picea abies B;;;;;;;;;;;;;;;;;;
b;Picea abies juv.;;;;;;;;;;;;;;;;;;
b;Sorbus aucuparia;;;;;;;;;;;;;;;;;;
k;Achillea millefolium;;;;;;;;;;;;;;;;;;
k;Ajuga reptans;;;;;;;;;;;;;;;;;;
k;Alchemilla monticola;;;;;;;;;;;;;;;;;;
k;Alchemilla vulgaris;;;;;;;;;;;;;;;;;;
k;Anemone nemorosa;;;;;;;;;;;;;;;;;;
k;Antriscus sylvestris;;;;;;;;;;;;;;;;;;
k;Athyrium filix-femina;;;;;;;;;;;;;;;;;;
k;Bistorta officinalis;;;;;;;;;;;;;;;;;;
k;Caltha palustris ;;;;;;;;;;;;;;;;;;
k;Campanula rotundifolia;;;;;;;;;;;;;;;;;;
k;Cardamine amara;;;;;;;;;;;;;;;;;;
k;Cardamine pratensis;;;;;;;;;;;;;;;;;;
k;Callitriche palustris agg.;;;;;;;;;;;;;;;;;;
k;Cerastium holosteoides;;;;;;;;;;;;;;;;;;
k;Chaerophyllum hirsutum;;;;;;;;;;;;;;;;;;
k;Chrysosplenium alternifolium;;;;;;;;;;;;;;;;;;
k;Chrysosplenium oppositifolium;;;;;;;;;;;;;;;;;;
k;Circaea alpina;;;;;;;;;;;;;;;;;;
k;Cirsium palustre;;;;;;;;;;;;;;;;;;
k;Crepis mollis;;;;;;;;;;;;;;;;;;
k;Crepis paludosa;;;;;;;;;;;;;;;;;;
k;Dactylorhiz fuchsii;;;;;;;;;;;;;;;;;;
k;Dryopteris spec.;;;;;;;;;;;;;;;;;;
k;Epilobium montanum;;;;;;;;;;;;;;;;;;
k;Epilobium palustre;;;;;;;;;;;;;;;;;;
k;Equisetum sylvaticum;;;;;;;;;;;;;;;;;;
k;Ficaria verna;;;;;;;;;;;;;;;;;;
k;Fragaria vesca;;;;;;;;;;;;;;;;;;
k;Galeopsis tetrahit;0,5;0,5;0,1;;;;0,1;;;;;;;0,3;5;5;;
k;Galium palustre;;;;;;;;;;;;;;;;;;
k;Galium saxatile;10;10;17;;;1;0,5;2;2;5;3;8;1;1;;;;7
k;Galium uliginosum;;;;;;;;;;;;;;;;;;
k;Geranium sylvaticum;;;;;;;;;;;;;;;;;;
k;Glechoma hederacea;;;;;;;;;;;;;;;;;;
k;Heracleum sphondylium;;;;;;;;;;;;;;;;;;
k;Hieracium lachenalii;;;;;;;;;;;;;;;;;;
k;Hieracium lactucella;;;;;;;;;;;;;;;;;;
k;Homogyne alpina;;;;;;;;;;;;;;;;;;
k;Hypericum maculatum;12;12;10;;;;;;;;;;;;;;;
k;Impatiens glandulifera;;;;;;;;;;;;;;;;;;
k;Lychnis flos-cuculi;;;;;;;;;;;;;;;;;;
k;Lysimachia nemorum;;;;;;;;;;;;;;;;;;
k;Lysimachia vulgaris;;;;;;;;;;;;;;;;;;
k;Maianthemum bifolium;;;;;;;;;;;;;;;;;;
k;Mentha arvensis;;;;;;;;;;;;;;;;;;
k;Myosotis nemorosa;;;;;;;;;;;;;;;;;;
k;Myosotis palustris;;;;;;;;;;;;;;;;;;
k;Oxalis acetosella;;;;;;;;;;;;;;;;;;
k;Pedicularis sylvatica;;;;;;;;;;;;;;;;;;
k;Pinguicula vulgaris;;;;;;;;;;;;;;;;;;
k;Plantago lanceolata;;;;;;;;;;;;;;;;;;
k;Potentilla erecta;2;0,3;3;;;;;;;;;;;;;;;
k;Prunella vulgaris;;;;;;;;;;;;;;;;;;
k;Ranunculus acris;;;;;;;;;;;;;;;;;;
k;Ranunculus flammula;;;;;;;;;;;;;;;;;;
k;Ranunculus repens;;;;;;;;;;;;;;;;;;
k;Rhinanthus minor;;;;;;;;;;;;;;;;;;
k;Rubus idaeus;;;;;;;;;;;;;;;;;;
k;Rubus idaeus (juv.);;;;;;;;;;;;;;;;;;
k;Rumex acetosa;;;;;;;;;;;;;;;;;;
k;Rumex acetosella;7;10;1;;;0,5;;;;;;0,5;;;;;;
k;Rumex arifolius;12;3;1;;;;;;;;;;;;;;;
k;Rumex obtusifolius;;;;;;;;;;;;;;;;;;
k;Senecio ovatus;;;;;;;;;;;;;;;;;;
k;Senecio subalpinus;;;;;;;;;;;;;;;;;;
k;Silene dioica;;;;;;;;;;;;;;;;;;
k;Soldanella montana;;;;;;;;;;;;;;;;;;
k;Stellaria alsine;;;0,5;;;;;;;;;;;;;;;
k;Stellaria graminea;0,1;3;2;;;;;;;;;;;;;;;
k;Stellaria nemorum;;;;;;;;;;;;;;;;;;
k;Stellaria spec.;;;;;;;;;;;;;;;;;;
k;Taraxacum officinale;;;;;;;;;;;;;;;;;;
k;Tephroseris crispa;;;;;;;;;;;;;;;;;;
k;Trifolium pratense;;;;;;;;;;;;;;;;;;
k;Trifolium repens;;;;;;;;;;;;;;;;;;
k;Urtica dioica ;;;;;;;;;;;;;;;;;;
k;Vaccinicum myrtillus;;3;1;;;;;;3;;5;1;1;;;;;
k;Vaccinium myrtillus S;;;;;;;;;;;;;;;;;;
k;Vaccinium vitis-idea;;;;;;;;;;;;;;;;;;
k;Valeriana dioica;;;;;;;;;;;;;;;;;;
k;Veronica beccabunga;;;;;;;;;;;;;;;;;;
k;Veronica chamaedrys;0,5;;0,5;;;;;;;;;;;;;;;
k;Veronica scutellata;;;;;;;;;;;;;;;;;;
k;Veronica officinalis;7;3;15;;;;;;;;;;;;;;;
k;Viola palustris;;0,1;0,3;;;;;;;;;;;;;;;
k;Willemetia stipitata;;;;;;;;;;;;;;;;;;
m;Sphagnum sec. ;;;;;;;;;;;;;;;;;;
m;Climatium dendroides;;;;;;;;;;;;;;;;;;
m;Plagiomnium undulatum;;;;;;;;;;;;;;;;;;
m;Pellia epiphylla;;;;;;;;;;;;;;;;;;
m;Rhytidiadelphus squarrosus;;;;;;;;;;;;;;;;;;
;Anmerkung:;;;;;;Kräuter in Nähe von Kot;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Weitere:;;;;;;;;;;;;;;;;;;
;Maianthemum bifolium;0,1;0,1;0,5;;;;;;;;;;;;;;;
;Ranunculus platanifolius/ aconitifolius;1;;0,5;;;;;;;;;;;;;;;
;Picea abies;;;;;;;;;;;0,1;;;;;;;
