;sp;;;;;;;;;;
;[] = diese Art ist außerhalb des Plotes gewachsen;;;;;;;;;;
;Skala: Londo, alle Werte bereits in Deckungen, keine Transformation nötig;;;;;;;;;;
;;;;;;;;;;;
;Gebiet;Ruckowitz;Ruckowitz;Ruckowitz;Ruckowitz;Ruckowitz;Ruckowitz;Ruckowitz;Ruckowitz;Ruckowitz;Ruckowitz
;Plot-ID;Ruc-NarU-1;Ruc-NarU-2;Ruc-NarU-3;Ruc-CaBi-1;Ruc-CaBi-2;Ruc-CaBi-3;Ruc-CaBi-4;Ruc-CaBi-5;Ruc-NarU-4;Ruc-NarU-5
;DB_Jehl_Aufnahmefläche;;;;;;;;;;
;DB_Jehl_Aufnahme;;;;;;;;;;
;Datum:      ;21.07.2020;21.07.2020;21.07.2020;21.07.2020;23.07.2020;23.07.2020;23.07.2020;23.07.2020;23.07.2020;23.07.2020
;Bearbeiter:;Lea & Conny;Lea & Conny;Lea & Conny;Lea & Conny;Lea ;Lea;Lea;Lea;Lea;Lea
;Flächengröße;;;;;;;;;;
;Management;brach;brach;brach;brach;brach;brach;brach;brach;brach;brach
k;Geranium sylvaticum;;;;;;;;;;
k;Glechoma hederacea;;;;;;;;;;
k;Heracleum sphondylium;;;;;;;;;;
k;Hieracium lachenalii;;;;;;;;;;
k;Hieracium lactucella;;;;;;;;;;
k;Homogyne alpina;;;;;;;;;;
k;Hypericum maculatum;;;;;;;;;;
k;Impatiens glandulifera;;;;;;;;;;
k;Lychnis flos-cuculi;;;;;;;;;;
k;Lysimachia nemorum;;;;;;;;;;
k;Lysimachia vulgaris;;;;;;;;;;
k;Maianthemum bifolium;;;;;;;;;;
k;Mentha arvensis;;;;;;;;;;
k;Myosotis nemorosa;;;;;;;;;;
k;Myosotis palustris;;;;;;;;;;
k;Oxalis acetosella;0,1;;;;;;;;;
k;Pedicularis sylvatica;;;;;;;;;;
k;Pinguicula vulgaris;;;;;;;;;;
k;Plantago lanceolata;;;;;;;;;;
k;Potentilla erecta;1;;;;;;;;;
k;Prunella vulgaris;;;;;;;;;;
k;Ranunculus acris;;;;;;;;;;
k;Ranunculus flammula;;;;;;;;;;
k;Ranunculus repens;;;;;;;;;;
k;Rhinanthus minor;;;;;;;;;;
k;Rubus idaeus;;;;;;;;;;
k;Rubus idaeus (juv.);;;;;;;;;;
k;Rumex acetosa;;;;;;;;;;
k;Rumex acetosella;15;5;3;;;;;;16;14
k;Rumex arifolius;1;0,3;;;;;;;;0,1
k;Rumex obtusifolius;;;;;;;;;;
k;Senecio ovatus;;;;;;;;;;
k;Senecio subalpinus;;;;;;;;;;
k;Silene dioica;;;;;;;;;;
k;Soldanella montana;;;;;;;;;;
k;Stellaria alsine;;;;;;;;;;
k;Stellaria graminea;2;;;;;;;;;
k;Stellaria nemorum;;;;;;;;;;
k;Stellaria spec.;;;;;;;;;;
k;Taraxacum officinale;;;;;;;;;;
k;Tephroseris crispa;;;;;;;;;;
k;Trifolium pratense;;;;;;;;;;
k;Trifolium repens;;;;;;;;;;
k;Urtica dioica ;;;;;;;;;;
k;Vaccinicum myrtillus;;3;5;;;;;;5;3
k;Vaccinium myrtillus S;;;;;;;;;;
k;Vaccinium vitis-idea;;;;;;;;;;
k;Valeriana dioica;;;;;;;;;;
k;Veronica beccabunga;;;;;;;;;;
k;Veronica chamaedrys;;;;;;;;;;
k;Veronica scutellata;;;;;;;;;;
k;Veronica officinalis;;;;;;;;;;
k;Viola palustris;;;;;;;;;;
k;Willemetia stipitata;;;;;;;;;;
m;Sphagnum sec. ;;;;;;;;;;
m;Climatium dendroides;;;;;;;;;;
m;Plagiomnium undulatum;;;;;;;;;;
m;Pellia epiphylla;;;;;;;;;;
m;Rhytidiadelphus squarrosus;;;;;;;;;;
;Anmerkung:;waldähnlich;;;;;;;;;
;;;;;;;;;;;
;Weitere;;;;;;;;;;
;Sorbus aucuparia;;;;;;;;;;0,3
;Acer pseudoplatanus;0,1;;;;;;;;;
;Picea abies;;0,1;;;;;;;;
