;Gebiet;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;;Ruckowitzschachten;
;Plot-ID;1A;;1B;;1C;;1D;;1E;;2A;;2B;;2C;;3A;;3B;;3C;;3D;;3E;;4A;;4B;;4C;;5A;;5B;;5C;;5D;;6A;;6B;;6C;;6D;;7A;;7B;;7C;;7D;;7E;;8A;;8B;;8C;;9A;;9B;;9C;;10A;;10B;;10C;;11;;12A;;12B;;12C;;12D;;12E;;Jehl_1;Jehl_2;Jehl_3;Jehl_4;Jehl_5;Jehl_7;Jehl_8;Jehl_9;Jehl_10;Jehl_11;Jehl_12;11A;;11B;;11C;;11D;;11E;
;Datum:      ;29.07.2019;;29.07.2019;;29.07.2019;;29.07.2019;;29.07.2019;;29.07.2019;;29.07.2019;;29.07.2019;;29.07.2019;;29.07.2019;;29.07.2019;;29.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;30.07.2019;;31.07.2019;;31.07.2019;;31.07.2019;;31.07.2019;;31.07.2019;;31.07.2019;;31.07.2019;;31.07.2019;;31.07.2019;;31.07.2019;;31.07.2019;;31.07.2019;;31.07.2019;;30.07.2019;;30.07.2019;;22.08.2019;22.08.2019;22.08.2019;22.08.2019;22.08.2019;22.08.2019;22.08.2019;22.08.2019;22.08.2019;22.08.2019;22.08.2019;03.07.2020;;03.07.2020;;03.07.2020;;03.07.2020;;03.07.2020;
;Bearbeiter:;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger;Cornelia Straubinger;Cornelia Straubinger;Cornelia Straubinger;Cornelia Straubinger;Cornelia Straubinger;Cornelia Straubinger;Cornelia Straubinger;Cornelia Straubinger;Cornelia Straubinger;Cornelia Straubinger;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;;Cornelia Straubinger, Christoph Heibl;
;Flächengröße;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;4m²;;2,5m²;2,5m²;2,5m²;2,5m²;2,5m²;2,5m²;2,5m²;2,5m²;2,5m²;2,5m²;2,5m²;4m²;;4m²;;4m²;;4m²;;4m²;
;Innerhalb der Weide;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Ja;;Nein;;Nein;;Nein;;Nein;;Nein;;Nein;;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;Nein;;Nein;;Nein;;Nein;
;Vegetation inkl. Terrestr. Kryptosg. Gesamt  (%);99;;95;;95;;95;;70;;98;;97;;99;;85;;97;;100;;98;;70;;50;;99;;99;;100;;95;;90;;96;;93;;90;;95;;90;;90;;93;;97;;97;;97;;90;;93;;95;;97;;99;;97;;100;;100;;90;;;;92;;95;;97;;90;;95;;80;95;97;95;95;100;99;100;99;97;100;75;;85;;93;;75;;70;
;Deckung Gefäßpflanzen (ab 2020);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;85;;;;;;;
;Vegetation Obere  Höhe (cm);40;;90;;95;;70;;65;;90;;93;;77;;65;;75;;100;;115;;40;;65;;90;;109;;40;;75;;67;;68;;88;;95;;72;;78;;73;;65;;67;;73;;95;;73;;74;;93;;58;;85;;82;;97;;104;;110;;;;88;;67;;75;;62;;38;;66;68;55;72;70;66;85;60;65;60;60;73;;72;;74;;72;;84;
;Streu Deckung (%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;;;;5;20;;70;3;10;;2;;3;;40;;35;
;Höhe der Streuschicht (cm);6;;3;;3;;1;;1;;3;;10;;3;;3;;2;;5;;5;;6;;0,5;;5;;3;;5;;1;;1;;10;;1;;2;;2;;1;;2;;3;;1,5;;2,5;;4;;1,5;;1;;1;;4;;7;;1,5;;3;;2,5;;5;;;;3;;3;;3;;4;;4;;3;3;4;5;2;4;5;10;5;6;6;1,5;;2;;2;;4;;2;
;Moose Deckung (%);0;;0;;0;;5;;1;;3;;0,5;;0,5;;15;;1;;3;;1;;1;;7;;5;;80;;0;;10;;15;;1;;40;;20;;30;;80;;40;;60;;20;;10;;5;;15;;5;;5;;5;;1;;;;10;;1;;80;;;;0,5;;20;;30;;5;;60;;70;50;90;20;0;50;10;1;3;10;95;10;;5;;15;;2;;0,5;
